Top 5 Best-Selling Products:
 product_id category  total_sold
       5006    Books           3
       5020   Beauty           3
       5027     Toys           3
       5038    Books           3
       5054    Books           3

Daily Revenue:
      purchase_date  total_revenue
2025-01-15 00:00:00         250.50
2025-01-16 00:00:00          99.98
2025-01-17 00:00:00          89.99
2025-01-18 00:00:00         120.00
2025-01-19 00:00:00          55.50
2025-01-20 00:00:00          47.97
2025-01-21 00:00:00          50.00
2025-01-22 00:00:00          75.00
2025-01-23 00:00:00         300.00
2025-01-24 00:00:00          91.00
2025-01-25 00:00:00          29.99
2025-01-26 00:00:00         199.99
2025-01-27 00:00:00          19.98
2025-01-28 00:00:00         550.00
2025-01-29 00:00:00          40.00
2025-01-30 00:00:00         120.00
2025-01-31 00:00:00          35.00
2025-02-01 00:00:00         160.00
2025-02-02 00:00:00         220.00
2025-02-03 00:00:00          55.50
2025-02-04 00:00:00         130.00
2025-02-05 00:00:00          14.99
2025-02-06 00:00:00         150.00
2025-02-07 00:00:00          90.00
2025-02-08 00:00:00         350.00
2025-02-09 00:00:00          99.98
2025-02-10 00:00:00          60.00
2025-02-11 00:00:00          45.00
2025-02-12 00:00:00         175.00
2025-02-13 00:00:00          39.98
2025-02-14 00:00:00         400.00
2025-02-15 00:00:00         131.98
2025-02-16 00:00:00          95.50
2025-02-17 00:00:00          30.00
2025-02-18 00:00:00         100.00
2025-02-19 00:00:00          20.99
2025-02-20 00:00:00         225.00
2025-02-21 00:00:00          37.50
2025-02-22 00:00:00         275.00
2025-02-23 00:00:00         160.00
2025-02-24 00:00:00          60.00
2025-02-25 00:00:00          45.99
2025-02-26 00:00:00          60.00
2025-02-27 00:00:00          19.99
2025-02-28 00:00:00         190.00
2025-02-29 00:00:00          23.98
2025-03-01 00:00:00         425.00
2025-03-02 00:00:00          95.00
2025-03-03 00:00:00         170.00
2025-03-04 00:00:00          55.99
2025-03-05 00:00:00          70.00
2025-03-06 00:00:00          22.50
2025-03-07 00:00:00         210.00
2025-03-08 00:00:00          49.50
2025-03-09 00:00:00         500.00
2025-03-10 00:00:00         140.00
2025-03-11 00:00:00          90.00
2025-03-12 00:00:00          35.00
2025-03-13 00:00:00          80.00
2025-03-14 00:00:00          25.99
2025-03-15 00:00:00         180.00
2025-03-16 00:00:00          21.98
2025-03-17 00:00:00         320.00
2025-03-18 00:00:00         170.00
2025-03-19 00:00:00          70.00
2025-03-20 00:00:00          40.00
2025-03-21 00:00:00         100.00
2025-03-22 00:00:00          30.99
2025-03-23 00:00:00         160.00
2025-03-24 00:00:00          55.50
2025-03-25 00:00:00         600.00
2025-03-26 00:00:00         200.00
2025-03-27 00:00:00         120.00
2025-03-28 00:00:00          65.99
2025-03-29 00:00:00         120.00
2025-03-30 00:00:00          35.00
2025-03-31 00:00:00         140.00
2025-04-01 00:00:00          31.98
2025-04-02 00:00:00         275.00
2025-04-03 00:00:00         240.00
2025-04-04 00:00:00          95.00
2025-04-05 00:00:00          50.00
2025-04-06 00:00:00         110.00
2025-04-07 00:00:00          40.99
2025-04-08 00:00:00         220.00
2025-04-09 00:00:00          52.50
2025-04-10 00:00:00         490.00
2025-04-11 00:00:00         260.00
2025-04-12 00:00:00         110.00
2025-04-13 00:00:00          72.99
